#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 20.03.2024 08:21:04;
6;
Cpt_Admin	-20	1000000000	255,0,0;
Cpt_CTA	-20	1000000000	0,64,0;
Cpt_Autres Poles	-20	1000000000	0,0,128;
remplissage ef	-20	1000000000	128,0,128;
puisage ef	-20	1000000000	255,255,0;
general ef	-20	1000000000	255,128,128;

#!(s);Date;Time;Cpt_Admin;Cpt_CTA;Cpt_Autres Poles;remplissage ef;puisage ef;general ef;
1701389697;01.12.2023;00:14:57;75.061;84.401;139.451;240.6;8.5;439.9;
1701390598;01.12.2023;00:29:58;75.063;84.417;139.461;240.6;8.5;439.9;
1701391498;01.12.2023;00:44:58;75.064;84.433;139.471;240.6;8.5;439.9;
1701392398;01.12.2023;00:59:58;75.066;84.448;139.482;240.6;8.5;439.9;
1701393298;01.12.2023;01:14:58;75.068;84.464;139.491;240.6;8.5;439.9;
1701394199;01.12.2023;01:29:59;75.069;84.478;139.498;240.6;8.5;439.9;
1701395099;01.12.2023;01:44:59;75.07;84.494;139.506;240.6;8.5;439.9;
1701395999;01.12.2023;01:59:59;75.072;84.509;139.514;240.6;8.5;439.9;
1701396900;01.12.2023;02:15:00;75.074;84.525;139.523;240.6;8.5;439.9;
1701397800;01.12.2023;02:30:00;75.076;84.541;139.533;240.6;8.5;439.9;
1701398700;01.12.2023;02:45:00;75.077;84.556;139.544;240.6;8.5;439.9;
1701399601;01.12.2023;03:00:01;75.079;84.572;139.553;240.6;8.5;439.9;
1701400501;01.12.2023;03:15:01;75.089;84.585;139.571;240.6;8.5;439.9;
1701401401;01.12.2023;03:30:01;75.094;84.602;139.588;240.6;8.5;439.9;
1701402301;01.12.2023;03:45:01;75.099;84.621;139.604;240.6;8.5;439.9;
1701403202;01.12.2023;04:00:02;75.104;84.641;139.619;240.6;8.5;439.9;
1701404102;01.12.2023;04:15:02;75.109;84.66;139.633;240.6;8.5;439.9;
1701405002;01.12.2023;04:30:02;75.114;84.68;139.648;240.6;8.5;439.9;
1701405903;01.12.2023;04:45:03;75.119;84.699;139.663;240.6;8.5;439.9;
1701406803;01.12.2023;05:00:03;75.123;84.718;139.677;240.6;8.5;439.9;
1701407703;01.12.2023;05:15:03;75.128;84.737;139.694;240.6;8.5;439.9;
1701408604;01.12.2023;05:30:04;75.132;84.756;139.709;240.6;8.5;439.9;
1701409504;01.12.2023;05:45:04;75.137;84.776;139.723;240.6;8.5;440;
