#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:26:42;
8;
TA_SC3_ET1	0	5000	255,0,0;
CO_SC3_ET1	0	5000	0,64,0;
DBS_SC3_ET1	0	5000	0,0,128;
DBE_SC3_ET1	0	5000	128,0,128;
TA_SC4_ET1	0	5000	255,255,0;
CO_SC4_ET1	0	5000	255,128,128;
DBS_SC4_ET1	0	5000	0,255,0;
DBE_SC4_ET1	0	5000	0,0,255;

#!(s);Date;Time;TA_SC3_ET1;CO_SC3_ET1;DBS_SC3_ET1;DBE_SC3_ET1;TA_SC4_ET1;CO_SC4_ET1;DBS_SC4_ET1;DBE_SC4_ET1;
1730420101;01.11.2024;00:15:01;17.3;0;824;461;20.2;360;461;1055;
1730421004;01.11.2024;00:30:04;17.1;0;893;742;20.2;353;810;742;
1730421907;01.11.2024;00:45:07;17.1;0;810;842;20.2;360;824;760;
1730422810;01.11.2024;01:00:10;17.1;0;709;760;20.2;360;792;727;
1730423713;01.11.2024;01:15:13;17.1;0;875;742;20.2;360;875;727;
1730424616;01.11.2024;01:30:16;17.5;0;842;760;20.1;353;742;824;
1730425520;01.11.2024;01:45:20;17.3;0;925;742;20.2;353;760;824;
1730426423;01.11.2024;02:00:23;17.2;0;958;824;20.1;360;727;925;
1730427326;01.11.2024;02:15:26;17.3;0;842;810;20.1;353;695;626;
1730428229;01.11.2024;02:30:29;17.3;0;893;760;20.1;360;742;1091;
1730429132;01.11.2024;02:45:32;17.2;0;875;727;20.1;353;760;760;
1730430035;01.11.2024;03:00:35;17.3;0;925;842;20.1;353;659;497;
1730430938;01.11.2024;03:15:38;17.3;0;893;612;20.1;360;824;940;
1730431842;01.11.2024;03:30:42;17.3;0;857;760;20.1;360;792;907;
1730432745;01.11.2024;03:45:45;17.3;0;875;727;20;353;709;925;
1730433648;01.11.2024;04:00:48;17.3;0;875;529;20.1;353;760;857;
1730434551;01.11.2024;04:15:51;17.3;0;774;626;20;360;727;958;
1730435454;01.11.2024;04:30:54;17.5;0;925;792;20;360;644;742;
1730436357;01.11.2024;04:45:57;17.3;0;875;529;20.1;360;857;1008;
1730437260;01.11.2024;05:01:00;17.3;0;958;857;20;353;626;842;
1730438164;01.11.2024;05:16:04;17.3;0;925;659;20.1;360;824;893;
1730439067;01.11.2024;05:31:07;17.5;0;857;644;20.1;360;626;875;
1730439970;01.11.2024;05:46:10;17.5;0;727;774;20.1;360;727;893;
1730440873;01.11.2024;06:01:13;17.5;0;893;824;20.1;360;792;925;
1730441776;01.11.2024;06:16:16;17.5;0;940;760;20.1;360;727;842;
1730442679;01.11.2024;06:31:19;17.5;0;612;677;20.1;360;760;925;
1730443582;01.11.2024;06:46:22;17.5;0;792;760;20.1;360;875;1008;
1730444485;01.11.2024;07:01:25;17.5;0;709;695;20.1;360;810;1008;
1730445389;01.11.2024;07:16:29;17.5;0;990;742;20;360;824;875;
1730446292;01.11.2024;07:31:32;17.5;0;940;612;20;360;857;742;
1730447195;01.11.2024;07:46:35;17.5;0;760;659;20;368;842;810;
1730448098;01.11.2024;08:01:38;17.5;0;857;774;20.1;360;893;1040;
1730449001;01.11.2024;08:16:41;17.5;0;875;842;20.2;368;810;958;
1730449904;01.11.2024;08:31:44;17.5;0;940;792;20.2;368;824;925;
1730450807;01.11.2024;08:46:47;17.5;0;1008;774;20.1;368;677;497;
1730451711;01.11.2024;09:01:51;17.5;0;958;875;20.1;368;842;857;
1730452614;01.11.2024;09:16:54;17.5;0;857;612;20.1;360;857;792;
1730453517;01.11.2024;09:31:57;17.5;0;958;810;20.2;360;774;875;
1730454420;01.11.2024;09:47:00;17.5;0;875;544;20.2;368;842;792;
1730455323;01.11.2024;10:02:03;17.5;0;792;659;20.1;368;774;659;
1730456226;01.11.2024;10:17:06;17.5;0;893;511;20.1;368;727;742;
1730457129;01.11.2024;10:32:09;17.6;0;893;774;20.1;368;824;958;
1730458032;01.11.2024;10:47:12;17.6;0;907;792;20.1;360;612;810;
1730458936;01.11.2024;11:02:16;17.6;0;907;644;20.1;360;774;907;
1730459839;01.11.2024;11:17:19;17.7;0;760;695;20.1;360;774;216;
1730460742;01.11.2024;11:32:22;17.7;0;824;727;20.2;368;824;1008;
1730461645;01.11.2024;11:47:25;17.7;0;857;626;20.3;368;792;925;
1730462548;01.11.2024;12:02:28;17.7;0;940;497;20.2;368;810;644;
1730463451;01.11.2024;12:17:31;17.7;0;990;428;20.2;360;612;925;
1730464354;01.11.2024;12:32:34;17.8;0;857;727;20.2;368;760;857;
1730465257;01.11.2024;12:47:37;17.8;0;990;774;20.3;360;792;925;
1730466160;01.11.2024;13:02:40;17.8;0;857;727;20.3;360;760;709;
1730467064;01.11.2024;13:17:44;17.8;0;875;792;20.3;360;842;875;
1730467967;01.11.2024;13:32:47;17.8;0;875;810;20.4;360;727;742;
1730468870;01.11.2024;13:47:50;17.8;0;824;497;20.3;360;824;446;
1730469773;01.11.2024;14:02:53;17.8;0;925;263;20.3;360;727;644;
1730470676;01.11.2024;14:17:56;17.8;0;907;659;20.3;360;774;742;
1730471579;01.11.2024;14:32:59;17.8;0;925;677;20.2;360;893;875;
1730472482;01.11.2024;14:48:02;17.8;0;925;479;20.4;368;875;940;
1730473386;01.11.2024;15:03:06;17.8;0;907;824;20.3;360;792;695;
1730474289;01.11.2024;15:18:09;17.8;0;810;677;20.4;360;774;857;
1730475192;01.11.2024;15:33:12;17.8;0;857;428;20.4;360;824;792;
1730476095;01.11.2024;15:48:15;17.9;0;940;774;20.4;360;875;958;
1730476998;01.11.2024;16:03:18;17.9;0;958;378;20.4;360;760;709;
1730477901;01.11.2024;16:18:21;17.9;0;810;742;20.5;360;792;313;
1730478805;01.11.2024;16:33:25;17.9;0;810;709;20.3;360;677;644;
