#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730420101;01.11.2024;00:15:01;19.3;0;346;360;0;0;346;
1730421004;01.11.2024;00:30:04;19.5;0;353;338;0;0;346;
1730421907;01.11.2024;00:45:07;19.4;0;346;353;0;0;346;
1730422810;01.11.2024;01:00:10;19.3;0;353;346;0;0;346;
1730423713;01.11.2024;01:15:13;19.4;0;360;346;0;0;346;
1730424616;01.11.2024;01:30:16;19.5;0;338;338;0;0;346;
1730425520;01.11.2024;01:45:20;19.4;0;353;338;0;0;346;
1730426423;01.11.2024;02:00:23;19.3;0;360;367;0;0;360;
1730427326;01.11.2024;02:15:26;19.7;0;353;353;0;0;353;
1730428229;01.11.2024;02:30:29;19.4;0;346;338;0;0;353;
1730429132;01.11.2024;02:45:32;19.5;0;331;338;0;0;353;
1730430035;01.11.2024;03:00:35;19.4;0;346;353;0;0;346;
1730430938;01.11.2024;03:15:38;19.3;0;353;346;0;0;353;
1730431842;01.11.2024;03:30:42;19.3;0;353;353;0;0;353;
1730432745;01.11.2024;03:45:45;19.2;0;346;338;0;0;346;
1730433648;01.11.2024;04:00:48;19.2;0;360;367;0;0;346;
1730434551;01.11.2024;04:15:51;19;0;353;353;0;0;346;
1730435454;01.11.2024;04:30:54;19.1;0;367;346;0;0;353;
1730436357;01.11.2024;04:45:57;19.2;0;346;353;0;0;353;
1730437260;01.11.2024;05:01:00;19.3;0;338;338;0;0;360;
1730438164;01.11.2024;05:16:04;19.1;0;328;353;0;0;353;
1730439067;01.11.2024;05:31:07;19.2;0;360;367;0;0;353;
1730439970;01.11.2024;05:46:10;19.1;0;353;338;0;0;353;
1730440873;01.11.2024;06:01:13;19.1;0;360;360;0;0;353;
