#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:25:27;
6;
TA_VEST2_RDC	0	5000	255,0,0;
TA_SP5P_2_RDC R	0	5000	0,64,0;
TA_SP10P_2_RDC	0	5000	0,0,128;
TA_LAB_TOPO_RDC	0	5000	128,0,128;
CO_LAB_TOPO_RDC R	0	5000	255,255,0;
DBS_LAB_TOPO_RDC	0	5000	255,128,128;

#!(s);Date;Time;TA_VEST2_RDC;TA_SP5P_2_RDC R;TA_SP10P_2_RDC;TA_LAB_TOPO_RDC;CO_LAB_TOPO_RDC R;DBS_LAB_TOPO_RDC;
1730420101;01.11.2024;00:15:01;20.1;19.8;19.2;0;76;677;
1730421004;01.11.2024;00:30:04;20.1;19.8;19.2;0;76;666;
1730421907;01.11.2024;00:45:07;20.1;19.8;19.2;0;73.8;749;
1730422810;01.11.2024;01:00:10;20.1;19.8;19.2;0;76;684;
1730423713;01.11.2024;01:15:13;20.1;19.8;19.2;0;71.6;644;
1730424616;01.11.2024;01:30:16;20.1;19.8;19.2;0;71.6;684;
1730425520;01.11.2024;01:45:20;20.1;19.7;19.2;0;73.8;666;
1730426423;01.11.2024;02:00:23;20.1;19.8;19.2;0;76;623;
1730427326;01.11.2024;02:15:26;20.1;19.7;19.2;0;76;695;
1730428229;01.11.2024;02:30:29;20.1;19.7;19.2;0;76;716;
1730429132;01.11.2024;02:45:32;20.1;19.7;19.2;0;73.8;655;
1730430035;01.11.2024;03:00:35;20.1;19.7;19.2;0;76;677;
1730430938;01.11.2024;03:15:38;20.1;19.7;19.2;0;80.6;634;
1730431842;01.11.2024;03:30:42;20.1;19.8;19.2;0;76;655;
1730432745;01.11.2024;03:45:45;20.1;19.8;19.3;0;76;612;
1730433648;01.11.2024;04:00:48;20.1;19.9;19.4;0;78.5;655;
1730434551;01.11.2024;04:15:51;20.1;19.9;19.4;0;76;695;
1730435454;01.11.2024;04:30:54;20.1;19.9;19.5;0;78.5;562;
1730436357;01.11.2024;04:45:57;20.1;19.9;19.4;0;76;655;
1730437260;01.11.2024;05:01:00;20.1;19.9;19.4;0;76;695;
1730438164;01.11.2024;05:16:04;20.1;19.8;19.4;0;76;583;
1730439067;01.11.2024;05:31:07;20.1;19.8;19.3;0;76;634;
1730439970;01.11.2024;05:46:10;20.1;19.8;19.3;0;76;706;
1730440873;01.11.2024;06:01:13;20.1;19.8;19.3;0;76;666;
1730441776;01.11.2024;06:16:16;20.1;19.8;19.3;0;76;695;
1730442679;01.11.2024;06:31:19;20.1;19.8;19.3;0;76;583;
1730443582;01.11.2024;06:46:22;20.1;19.8;19.3;0;76;623;
1730444485;01.11.2024;07:01:25;20.1;19.8;19.3;0;76;612;
1730445389;01.11.2024;07:16:29;20.1;19.7;19.3;0;76;666;
1730446292;01.11.2024;07:31:32;20.1;19.7;19.3;0;76;706;
1730447195;01.11.2024;07:46:35;20.1;19.8;19.3;0;76;695;
1730448098;01.11.2024;08:01:38;20;19.7;19.2;0;76;695;
1730449001;01.11.2024;08:16:41;20;19.8;19.3;0;76;634;
