#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:33:34;
9;
T_Exterieure	-20	100	255,0,0;
TD_Secondaire	-20	100	0,64,0;
TR_Secondaire	-20	100	0,0,128;
TD_Admin	-20	100	128,0,128;
TR_Admin	-20	100	255,255,0;
TD_CTA	-20	100	255,128,128;
TR_CTA	-20	100	0,255,0;
TD_A_Poles	-20	100	0,0,255;
TR_A_Poles	-20	100	255,128,192;

#!(s);Date;Time;T_Exterieure;TD_Secondaire;TR_Secondaire;TD_Admin;TR_Admin;TD_CTA;TR_CTA;TD_A_Poles;TR_A_Poles;
1730420053;01.11.2024;00:14:13;8.5;75.6;56.1;61.3;56.4;61.6;59.5;61.3;54.5;
1730420954;01.11.2024;00:29:14;8.4;75;55.3;61.7;56.7;61.6;59.7;61.4;53.3;
1730421854;01.11.2024;00:44:14;8.4;76;55.9;61.5;56.5;61.6;59.7;61.7;54.5;
1730422754;01.11.2024;00:59:14;8.2;75.2;55.9;61.5;56.6;61.2;58.6;61.3;54.5;
1730423655;01.11.2024;01:14:15;8.2;75.5;56.2;61.4;56.6;61.4;59.2;61.7;54.5;
1730424555;01.11.2024;01:29:15;8.2;75.7;56.3;61.6;56.8;61.9;59.8;61.8;54.6;
1730425455;01.11.2024;01:44:15;8.2;75.4;55.9;61.2;56.7;61.7;59.9;61.2;54;
1730426356;01.11.2024;01:59:16;7.8;74.4;56;62;56.7;60.5;58.3;62.1;54.6;
1730427256;01.11.2024;02:14:16;7.9;76.4;56.5;61.9;56.6;61.7;59.5;61.4;54.7;
1730428156;01.11.2024;02:29:16;7.9;75.7;56.5;61.2;57;62;60.1;61.4;54.8;
1730429056;01.11.2024;02:44:16;7.8;75;56.3;61.5;56.9;61.9;60.1;61.8;54.7;
1730429957;01.11.2024;02:59:17;7.8;75.6;56.3;61.6;56.5;61.7;60;61.9;54.8;
1730430857;01.11.2024;03:14:17;8;72.8;46.4;62.4;41.3;61.6;59.5;61.4;45.9;
1730431757;01.11.2024;03:29:17;7.9;77.5;52.2;62.7;47.2;62.1;59.8;62.3;52.4;
1730432658;01.11.2024;03:44:18;7.9;76.3;54.6;61.4;50.1;61.3;58.8;61.6;54.4;
1730433558;01.11.2024;03:59:18;8;75.7;55.3;62;53.1;61.8;58.6;61.8;54.4;
