#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:34:18;
6;
Cpt_Admin	-20	1000000000	255,0,0;
Cpt_CTA	-20	1000000000	0,64,0;
Cpt_Autres Poles	-20	1000000000	0,0,128;
remplissage ef	-20	1000000000	128,0,128;
puisage ef	-20	1000000000	255,255,0;
general ef	-20	1000000000	255,128,128;

#!(s);Date;Time;Cpt_Admin;Cpt_CTA;Cpt_Autres Poles;remplissage ef;puisage ef;general ef;
1730420053;01.11.2024;00:14:13;110.577;193.124;284.386;289.1;9.1;769.1;
1730420954;01.11.2024;00:29:14;110.578;193.126;284.391;289.1;9.1;769.1;
1730421854;01.11.2024;00:44:14;110.579;193.128;284.396;289.1;9.1;769.1;
1730422754;01.11.2024;00:59:14;110.581;193.13;284.4;289.1;9.1;769.1;
1730423655;01.11.2024;01:14:15;110.582;193.132;284.405;289.1;9.1;769.1;
1730424555;01.11.2024;01:29:15;110.583;193.134;284.409;289.1;9.1;769.1;
1730425455;01.11.2024;01:44:15;110.584;193.136;284.414;289.1;9.1;769.1;
1730426356;01.11.2024;01:59:16;110.585;193.138;284.419;289.1;9.1;769.1;
1730427256;01.11.2024;02:14:16;110.586;193.141;284.424;289.1;9.1;769.1;
1730428156;01.11.2024;02:29:16;110.588;193.143;284.428;289.1;9.1;769.1;
1730429056;01.11.2024;02:44:16;110.589;193.145;284.433;289.1;9.1;769.1;
1730429957;01.11.2024;02:59:17;110.59;193.146;284.437;289.1;9.1;769.1;
1730430857;01.11.2024;03:14:17;110.599;193.148;284.45;289.1;9.1;769.1;
1730431757;01.11.2024;03:29:17;110.604;193.151;284.465;289.1;9.1;769.1;
1730432658;01.11.2024;03:44:18;110.608;193.154;284.474;289.1;9.1;769.1;
1730433558;01.11.2024;03:59:18;110.611;193.157;284.482;289.1;9.1;769.1;
1730434458;01.11.2024;04:14:18;110.614;193.16;284.49;289.1;9.1;769.1;
1730435359;01.11.2024;04:29:19;110.616;193.164;284.497;289.1;9.1;769.1;
1730436259;01.11.2024;04:44:19;110.619;193.167;284.503;289.1;9.1;769.1;
1730437159;01.11.2024;04:59:19;110.622;193.17;284.51;289.1;9.1;769.1;
1730438060;01.11.2024;05:14:20;110.626;193.179;284.522;289.1;9.1;769.1;
1730438960;01.11.2024;05:29:20;110.631;193.187;284.535;289.1;9.1;769.1;
1730439860;01.11.2024;05:44:20;110.634;193.191;284.545;289.1;9.1;769.1;
1730440761;01.11.2024;05:59:21;110.637;193.194;284.553;289.1;9.1;769.1;
1730441661;01.11.2024;06:14:21;110.638;193.197;284.56;289.1;9.1;769.1;
1730442561;01.11.2024;06:29:21;110.64;193.201;284.568;289.1;9.1;769.1;
